position(base)	genetic_distance(centiMorgan)
6196412	6.19641
6202756	6.20276
6268317	6.26832
6285674	6.28567
6355652	6.35565
6373551	6.37355
6428936	6.42894
6462068	6.46207
6474073	6.47407
6474392	6.47439
6486216	6.48622
6493451	6.49345
6504621	6.50462
6518893	6.51889
6675454	6.67545
6714885	6.71488
6875817	6.87582
6934179	6.93418
6952345	6.95235
6968110	6.96811
6968967	6.96897
6977478	6.97748
7002332	7.00233
7040574	7.04057
7054235	7.05424
7197887	7.19789
7205015	7.20501
7245771	7.24577
7253955	7.25395
7255080	7.25508
7262388	7.26239
7271583	7.27158
7363167	7.36317
7387585	7.38759
7389854	7.38985
7469152	7.46915
7493844	7.49384
7547955	7.54796
7581675	7.58168
7590656	7.59066
7628329	7.62833
7670852	7.67085
7729771	7.72977
7802259	7.80226
7806721	7.80672
7814837	7.81484
7850902	7.8509
7899363	7.89936
7986507	7.98651
7995924	7.99592
8029441	8.02944
8108609	8.10861
8194181	8.19418
8246571	8.24657
8361592	8.36159
8371597	8.3716
8434776	8.43478
8536218	8.53622
8546929	8.54693
8564567	8.56457
8590181	8.59018
8618190	8.61819
8623105	8.62311
8639763	8.63976
8672115	8.67211
8724979	8.72498
8759678	8.75968
8763712	8.76371
8779229	8.77923
8837211	8.83721
8855965	8.85597
8898924	8.89892
8966479	8.96648
8968729	8.96873
8978701	8.9787
8996442	8.99644
9010396	9.0104
9014253	9.01425
9040701	9.0407
9041721	9.04172
9047744	9.04774
9051271	9.05127
9055592	9.05559
9071806	9.07181
9082575	9.08258
9088839	9.08884
9199241	9.19924
9226676	9.22668
9268551	9.26855
9382739	9.38274
9546350	9.54635
9590038	9.59004
9596667	9.59667
9680929	9.68093
9801849	9.80185
9805893	9.80589
9839032	9.83903
9868770	9.86877
9907091	9.90709
9907354	9.90735
9907596	9.9076
9914647	9.91465
9927733	9.92773
9938972	9.93897
9955354	9.95535
9971947	9.97195
9993858	9.99386
10010796	10.0108
10043130	10.0431
10054786	10.0548
10088251	10.0883
10099559	10.0996
10110691	10.1107
10113196	10.1132
10114955	10.115
10157634	10.1576
10160722	10.1607
10182479	10.1825
10188785	10.1888
10203955	10.204
10290960	10.291
10295705	10.2957
10305425	10.3054
10310982	10.311
10313588	10.3136
10323860	10.3239
10344744	10.3447
10418561	10.4186
10463674	10.4637
10478991	10.479
10481263	10.4813
10483236	10.4832
10494124	10.4941
10507472	10.5075
10509048	10.509
10527152	10.5272
10591853	10.5919
10622933	10.6229
10636444	10.6364
10643860	10.6439
10694123	10.6941
10712753	10.7128
10791039	10.791
10836642	10.8366
10846481	10.8465
10849151	10.8492
10849904	10.8499
10866917	10.8669
10875300	10.8753
10882980	10.883
10893903	10.8939
10901672	10.9017
10922046	10.922
10974844	10.9748
11054174	11.0542
11057221	11.0572
11064848	11.0648
11069675	11.0697
11073393	11.0734
11089575	11.0896
11094595	11.0946
11128323	11.1283
11380573	11.3806
11442545	11.4425
11482461	11.4825
11519782	11.5198
11533858	11.5339
11552471	11.5525
11603002	11.603
11657018	11.657
11696445	11.6964
11715574	11.7156
11769179	11.7692
11792277	11.7923
11793498	11.7935
11815232	11.8152
11845576	11.8456
11858253	11.8583
11862283	11.8623
11866000	11.866
11882872	11.8829
11885115	11.8851
11893322	11.8933
11906788	11.9068
11917699	11.9177
11930540	11.9305
11931116	11.9311
11977722	11.9777
12001990	12.002
12045341	12.0453
12064036	12.064
12108350	12.1083
12110137	12.1101
12221500	12.2215
12244535	12.2445
12253413	12.2534
12260393	12.2604
12281476	12.2815
12383351	12.3834
12450403	12.4504
12466318	12.4663
12487948	12.4879
12496379	12.4964
12510653	12.5107
12530226	12.5302
12565540	12.5655
12567806	12.5678
12611931	12.6119
12626108	12.6261
12639695	12.6397
12648333	12.6483
12687255	12.6873
12692994	12.693
12719632	12.7196
12748308	12.7483
12761705	12.7617
12788930	12.7889
12821527	12.8215
12844382	12.8444
12893119	12.8931
12893490	12.8935
12916117	12.9161
12992283	12.9923
13020309	13.0203
13082206	13.0822
13106970	13.107
13115649	13.1156
13137275	13.1373
13143869	13.1439
13144846	13.1448
13163002	13.163
13163774	13.1638
13186163	13.1862
13188068	13.1881
13208992	13.209
13274557	13.2746
13309498	13.3095
13341613	13.3416
13434206	13.4342
13439419	13.4394
13453410	13.4534
13489299	13.4893
13492860	13.4929
13502091	13.5021
13519485	13.5195
13526764	13.5268
13539924	13.5399
13552037	13.552
13573418	13.5734
13580635	13.5806
13615602	13.6156
13665931	13.6659
13668924	13.6689
13708136	13.7081
13711448	13.7114
13721817	13.7218
13736220	13.7362
13776965	13.777
13777869	13.7779
13796587	13.7966
13810558	13.8106
13816165	13.8162
13818333	13.8183
13844386	13.8444
13863299	13.8633
13891021	13.891
13896753	13.8968
13899407	13.8994
13925361	13.9254
13926156	13.9262
13988874	13.9889
14048554	14.0486
14071609	14.0716
14078866	14.0789
14091665	14.0917
14164777	14.1648
14177714	14.1777
14230097	14.2301
14282419	14.2824
14311148	14.3111
14389074	14.3891
14397730	14.3977
14401760	14.4018
14423636	14.4236
14449408	14.4494
14506498	14.5065
14516726	14.5167
14517103	14.5171
14522884	14.5229
14545641	14.5456
14554545	14.5545
14565864	14.5659
14574456	14.5745
14580251	14.5803
14605096	14.6051
14635696	14.6357
14641413	14.6414
14714180	14.7142
14745178	14.7452
14778420	14.7784
14783172	14.7832
14807039	14.807
14861728	14.8617
14863096	14.8631
14869705	14.8697
14897278	14.8973
14978256	14.9783
15037580	15.0376
15087862	15.0879
15144691	15.1447
15164363	15.1644
15189861	15.1899
15191505	15.1915
15194031	15.194
15205205	15.2052
15226165	15.2262
15294731	15.2947
15299651	15.2997
15312180	15.3122
15314248	15.3142
15346086	15.3461
15355427	15.3554
15378838	15.3788
15440823	15.4408
15481132	15.4811
15484595	15.4846
15510652	15.5107
15515139	15.5151
15532487	15.5325
15536893	15.5369
15568291	15.5683
15587851	15.5879
15615157	15.6152
15619836	15.6198
15624894	15.6249
15632466	15.6325
15650355	15.6504
15652314	15.6523
15655808	15.6558
15663190	15.6632
15666007	15.666
15705058	15.7051
15752645	15.7526
15765363	15.7654
15768692	15.7687
15769844	15.7698
15783713	15.7837
15794280	15.7943
15814203	15.8142
15835526	15.8355
15949685	15.9497
15975339	15.9753
15995762	15.9958
16002463	16.0025
16015789	16.0158
16025480	16.0255
16027812	16.0278
16045988	16.046
16048566	16.0486
16051527	16.0515
16103757	16.1038
16155479	16.1555
16215241	16.2152
16321578	16.3216
16337837	16.3378
16353108	16.3531
16354367	16.3544
16386638	16.3866
16423535	16.4235
16435245	16.4352
16599052	16.5991
16611673	16.6117
16623727	16.6237
16634349	16.6343
16634859	16.6349
16639442	16.6394
16670129	16.6701
16693308	16.6933
16703031	16.703
16729053	16.7291
16742112	16.7421
16778910	16.7789
16850062	16.8501
16862101	16.8621
16872273	16.8723
16932436	16.9324
16941562	16.9416
16964891	16.9649
16984829	16.9848
17121137	17.1211
17149606	17.1496
17179484	17.1795
17186108	17.1861
17196051	17.1961
17224229	17.2242
17239672	17.2397
17254152	17.2542
17288027	17.288
17288784	17.2888
17310279	17.3103
17326201	17.3262
17346082	17.3461
17350048	17.35
17362462	17.3625
17393868	17.3939
17396589	17.3966
17419493	17.4195
17461959	17.462
17469649	17.4696
17534018	17.534
17594157	17.5942
17602831	17.6028
17622469	17.6225
17637430	17.6374
17648532	17.6485
17667380	17.6674
17680322	17.6803
17719261	17.7193
17719770	17.7198
17736689	17.7367
17759246	17.7592
17761970	17.762
17770930	17.7709
17790353	17.7904
17857480	17.8575
17860912	17.8609
17875393	17.8754
17877692	17.8777
17895178	17.8952
17940380	17.9404
18028017	18.028
18031229	18.0312
18058486	18.0585
18062999	18.063
18092211	18.0922
18099214	18.0992
18118646	18.1186
18122549	18.1225
18126625	18.1266
18187007	18.187
18208399	18.2084
18215207	18.2152
18339341	18.3393
18357638	18.3576
18358172	18.3582
18376481	18.3765
18425197	18.4252
18485978	18.486
18546904	18.5469
18567448	18.5674
18573736	18.5737
18716326	18.7163
18731060	18.7311
18762672	18.7627
18833490	18.8335
18833556	18.8336
18887130	18.8871
18925918	18.9259
18930541	18.9305
18954842	18.9548
19051940	19.0519
19079150	19.0791
19122363	19.1224
19160593	19.1606
19168995	19.169
19208286	19.2083
19211436	19.2114
19265939	19.2659
19271577	19.2716
19316905	19.3169
19325032	19.325
19337399	19.3374
19349164	19.3492
19363912	19.3639
19381346	19.3813
19415772	19.4158
19515689	19.5157
19520616	19.5206
19520966	19.521
19636247	19.6362
19646024	19.646
19662433	19.6624
19666981	19.667
19698252	19.6983
19741543	19.7415
19771612	19.7716
19786404	19.7864
19793570	19.7936
19804043	19.804
19809922	19.8099
19836112	19.8361
19843870	19.8439
19977195	19.9772
19995459	19.9955
20054799	20.0548
20102367	20.1024
20103518	20.1035
20117160	20.1172
20139725	20.1397
20147362	20.1474
20193099	20.1931
20194853	20.1949
20249503	20.2495
20249541	20.2495
20260680	20.2607
20333999	20.334
20335805	20.3358
20401732	20.4017
20404359	20.4044
20471091	20.4711
20505957	20.506
20510638	20.5106
20511619	20.5116
20537330	20.5373
20546871	20.5469
20638656	20.6387
20650844	20.6508
20671642	20.6716
20734295	20.7343
20748432	20.7484
20762948	20.7629
20767836	20.7678
20768107	20.7681
20776477	20.7765
20785540	20.7855
20824118	20.8241
20851362	20.8514
20852291	20.8523
20871106	20.8711
20965676	20.9657
20983412	20.9834
20985918	20.9859
20986133	20.9861
20999350	20.9993
21022453	21.0225
21070284	21.0703
21108261	21.1083
21143156	21.1432
21209820	21.2098
21231337	21.2313
21374815	21.3748
21410825	21.4108
21413797	21.4138
21419931	21.4199
21425279	21.4253
21432786	21.4328
21467630	21.4676
21493468	21.4935
21494955	21.495
21519821	21.5198
21524781	21.5248
21565746	21.5657
21570085	21.5701
21587516	21.5875
21589285	21.5893
21591025	21.591
21671290	21.6713
21689476	21.6895
21698686	21.6987
21725375	21.7254
21736134	21.7361
21756077	21.7561
21764863	21.7649
21800584	21.8006
21824804	21.8248
21825370	21.8254
21826760	21.8268
21887102	21.8871
21904680	21.9047
21912770	21.9128
21915870	21.9159
21982648	21.9826
22028568	22.0286
22093673	22.0937
22103770	22.1038
22229425	22.2294
22242394	22.2424
22280868	22.2809
22287549	22.2875
22321715	22.3217
22356209	22.3562
22463706	22.4637
22468667	22.4687
22490815	22.4908
22506865	22.5069
22513534	22.5135
22521954	22.522
22523250	22.5233
22525995	22.526
22545867	22.5459
22550301	22.5503
22550910	22.5509
22567515	22.5675
22617296	22.6173
22645780	22.6458
22707951	22.708
22771282	22.7713
22807510	22.8075
22835923	22.8359
22854774	22.8548
22880158	22.8802
22881296	22.8813
22882018	22.882
22902739	22.9027
22928921	22.9289
22932977	22.933
22944795	22.9448
22945366	22.9454
22951959	22.952
22958361	22.9584
22994215	22.9942
23000293	23.0003
23005490	23.0055
23015636	23.0156
23018129	23.0181
23026578	23.0266
23051200	23.0512
23085702	23.0857
23161801	23.1618
23222858	23.2229
23229558	23.2296
23272983	23.273
23278228	23.2782
23283660	23.2837
23332342	23.3323
23344808	23.3448
23345009	23.345
23389835	23.3898
23399978	23.4
23415834	23.4158
23434810	23.4348
23478849	23.4788
23483688	23.4837
23503715	23.5037
23515054	23.5151
23525701	23.5257
23530673	23.5307
23553971	23.554
23631996	23.632
23642112	23.6421
23651155	23.6512
23674943	23.6749
23678572	23.6786
23720439	23.7204
23727924	23.7279
23739248	23.7392
23741515	23.7415
23748702	23.7487
23764246	23.7642
23775672	23.7757
23783839	23.7838
23805632	23.8056
23843009	23.843
23859140	23.8591
23865653	23.8657
23878535	23.8785
23906360	23.9064
23937415	23.9374
23962489	23.9625
23962565	23.9626
23977178	23.9772
23981627	23.9816
23985979	23.986
24000514	24.0005
24005311	24.0053
24009073	24.0091
24019571	24.0196
24022811	24.0228
24036596	24.0366
24037897	24.0379
24082321	24.0823
24083651	24.0837
24103752	24.1038
24109331	24.1093
24118208	24.1182
24172101	24.1721
24181137	24.1811
24220009	24.22
24239600	24.2396
24243515	24.2435
24258002	24.258
24317973	24.318
24343752	24.3438
24343816	24.3438
24361055	24.3611
24383119	24.3831
24409213	24.4092
24424846	24.4248
24433005	24.433
24446558	24.4466
24510438	24.5104
24512209	24.5122
24517826	24.5178
24616640	24.6166
24619980	24.62
24644142	24.6441
24652440	24.6524
24652484	24.6525
24662647	24.6626
24796371	24.7964
24797740	24.7977
24981220	24.9812
24986271	24.9863
24989310	24.9893
24995638	24.9956
25003511	25.0035
25006422	25.0064
25023145	25.0231
25034731	25.0347
25039327	25.0393
25120824	25.1208
25136473	25.1365
25143083	25.1431
25236447	25.2364
25260024	25.26
25277889	25.2779
25327667	25.3277
25346892	25.3469
25354197	25.3542
25366738	25.3667
25368640	25.3686
25372639	25.3726
25373135	25.3731
25389021	25.389
25429846	25.4298
25434915	25.4349
25437492	25.4375
25456838	25.4568
25496372	25.4964
25606481	25.6065
25614041	25.614
25659496	25.6595
25681695	25.6817
25715345	25.7153
25719706	25.7197
25755224	25.7552
25786235	25.7862
25841426	25.8414
25982985	25.983
26030765	26.0308
26036573	26.0366
26052515	26.0525
26059559	26.0596
26069238	26.0692
26141912	26.1419
26161069	26.1611
26190762	26.1908
26230025	26.23
26250160	26.2502
26252222	26.2522
26434303	26.4343
26435350	26.4354
26455149	26.4551
26455987	26.456
26478724	26.4787
26481612	26.4816
26540539	26.5405
26544913	26.5449
26548678	26.5487
26583891	26.5839
26595323	26.5953
26624168	26.6242
26631843	26.6318
26642426	26.6424
26654555	26.6546
26663212	26.6632
26682753	26.6828
26687916	26.6879
26713924	26.7139
26762099	26.7621
26842419	26.8424
26917748	26.9177
26960110	26.9601
26977809	26.9778
27014046	27.014
27016553	27.0166
27039398	27.0394
27055075	27.0551
27108816	27.1088
27154091	27.1541
27156314	27.1563
27185107	27.1851
27249095	27.2491
27328604	27.3286
27339743	27.3397
27341663	27.3417
27342459	27.3425
27345817	27.3458
27389750	27.3898
27417570	27.4176
27464203	27.4642
27467271	27.4673
27476457	27.4765
27509920	27.5099
27550894	27.5509
27553923	27.5539
27594551	27.5946
27660672	27.6607
27690417	27.6904
27706561	27.7066
27711265	27.7113
27721359	27.7214
27729566	27.7296
27743488	27.7435
27756809	27.7568
27771665	27.7717
27795110	27.7951
27804629	27.8046
27824215	27.8242
27826577	27.8266
27828061	27.8281
27877776	27.8778
27977941	27.9779
28123609	28.1236
28140983	28.141
28183038	28.183
28188117	28.1881
28251956	28.252
28272712	28.2727
28287355	28.2874
28299590	28.2996
28308338	28.3083
28319570	28.3196
28321711	28.3217
28443399	28.4434
28512644	28.5126
28553228	28.5532
28557083	28.5571
28591277	28.5913
28594209	28.5942
28603372	28.6034
28623726	28.6237
28632225	28.6322
28653168	28.6532
28676433	28.6764
28705900	28.7059
28724266	28.7243
28745633	28.7456
28746755	28.7468
28753029	28.753
28771374	28.7714
28794493	28.7945
28983338	28.9833
29085447	29.0854
29088140	29.0881
29098730	29.0987
29102112	29.1021
29155893	29.1559
29160190	29.1602
29207045	29.207
29231842	29.2318
29237869	29.2379
29248436	29.2484
29275637	29.2756
29285453	29.2855
29285665	29.2857
29323627	29.3236
29324670	29.3247
29370281	29.3703
29405271	29.4053
29408784	29.4088
29418211	29.4182
29455259	29.4553
29621051	29.6211
29661595	29.6616
29697844	29.6978
29745899	29.7459
29793945	29.7939
29799251	29.7993
29827934	29.8279
29830523	29.8305
29859692	29.8597
29877209	29.8772
30030671	30.0307
30046491	30.0465
30081251	30.0813
30084979	30.085
30091165	30.0912
30100676	30.1007
30130938	30.1309
30157968	30.158
30340163	30.3402
30407137	30.4071
30412534	30.4125
30417445	30.4174
30476178	30.4762
30625514	30.6255
30653071	30.6531
30667443	30.6674
30676089	30.6761
30679524	30.6795
30680026	30.68
30693735	30.6937
30724422	30.7244
30773357	30.7734
30778374	30.7784
30802549	30.8025
30811657	30.8117
30861657	30.8617
30870725	30.8707
30910050	30.91
30936023	30.936
30975498	30.9755
30976418	30.9764
30986928	30.9869
31006420	31.0064
31011242	31.0112
31014806	31.0148
31018417	31.0184
31086261	31.0863
31171059	31.1711
31182068	31.1821
31185560	31.1856
31189358	31.1894
31223279	31.2233
31233391	31.2334
31249256	31.2493
31272910	31.2729
31375372	31.3754
31376290	31.3763
31430247	31.4302
31511456	31.5115
31597811	31.5978
31610796	31.6108
31631534	31.6315
31660433	31.6604
31678372	31.6784
31678657	31.6787
31725240	31.7252
31762412	31.7624
31775856	31.7759
31778466	31.7785
31887459	31.8875
31921227	31.9212
32030288	32.0303
32061040	32.061
32151325	32.1513
32313200	32.3132
32403787	32.4038
32428184	32.4282
32458942	32.4589
32540000	32.54
32596379	32.5964
32654420	32.6544
32670890	32.6709
32672283	32.6723
32720496	32.7205
32759227	32.7592
32769374	32.7694
32844387	32.8444
32899048	32.899
32978630	32.9786
33014634	33.0146
33043266	33.0433
33069757	33.0698
33117117	33.1171
33117775	33.1178
33135434	33.1354
33141590	33.1416
33143392	33.1434
33147552	33.1476
33160087	33.1601
33172323	33.1723
33211470	33.2115
33227750	33.2278
33287673	33.2877
33325847	33.3258
33368586	33.3686
33390869	33.3909
33412713	33.4127
33471168	33.4712
33505032	33.505
33506260	33.5063
33507523	33.5075
33547407	33.5474
33552753	33.5528
33585708	33.5857
33608889	33.6089
33619648	33.6196
33636295	33.6363
33717514	33.7175
33724667	33.7247
33790824	33.7908
33814602	33.8146
33922061	33.9221
33980622	33.9806
33987621	33.9876
34008880	34.0089
34028470	34.0285
34032700	34.0327
34048489	34.0485
34077690	34.0777
34189839	34.1898
34273574	34.2736
34396818	34.3968
34418821	34.4188
34426953	34.427
34462838	34.4628
34500220	34.5002
34501582	34.5016
34519720	34.5197
34552063	34.5521
34568205	34.5682
34574825	34.5748
34579812	34.5798
34621132	34.6211
34645623	34.6456
34685786	34.6858
34703673	34.7037
34704152	34.7042
34727823	34.7278
34747621	34.7476
34800942	34.8009
34810554	34.8106
34821986	34.822
34870080	34.8701
34987067	34.9871
35137868	35.1379
35143531	35.1435
35150694	35.1507
35159611	35.1596
35308781	35.3088
35404241	35.4042
35593343	35.5933
35664062	35.6641
35757872	35.7579
35875283	35.8753
35931622	35.9316
35940165	35.9402
35962853	35.9629
35963199	35.9632
36034836	36.0348
36039090	36.0391
36040369	36.0404
36057072	36.0571
36059136	36.0591
36059816	36.0598
36073837	36.0738
36075943	36.0759
36077798	36.0778
36079548	36.0795
36206412	36.2064
36211374	36.2114
36238130	36.2381
36244119	36.2441
36304564	36.3046
36409984	36.41
36413030	36.413
36443591	36.4436
36444730	36.4447
36445171	36.4452
36457844	36.4578
36483204	36.4832
36529335	36.5293
36539849	36.5398
36542962	36.543
36627607	36.6276
36663945	36.6639
36739454	36.7395
36811030	36.811
36862096	36.8621
36889979	36.89
36898098	36.8981
36901733	36.9017
36933763	36.9338
36935364	36.9354
36968059	36.9681
36985873	36.9859
37039840	37.0398
37055960	37.056
37056694	37.0567
37166213	37.1662
37220138	37.2201
37278393	37.2784
37278884	37.2789
37376611	37.3766
37377958	37.378
37380360	37.3804
37391657	37.3917
37423656	37.4237
37526547	37.5265
37567440	37.5674
37600191	37.6002
37619587	37.6196
37647352	37.6474
37650819	37.6508
37667348	37.6673
37696173	37.6962
37701298	37.7013
37720635	37.7206
37726370	37.7264
37767703	37.7677
37771430	37.7714
37792686	37.7927
37799430	37.7994
37808784	37.8088
37820200	37.8202
37858468	37.8585
37890788	37.8908
37905503	37.9055
37931310	37.9313
37975675	37.9757
38065042	38.065
38105872	38.1059
38126689	38.1267
38144217	38.1442
38161928	38.1619
38173909	38.1739
38185407	38.1854
38194442	38.1944
38242911	38.2429
38267764	38.2678
38271669	38.2717
38286855	38.2869
38319333	38.3193
38344478	38.3445
38346981	38.347
38350520	38.3505
38361093	38.3611
38364398	38.3644
38446226	38.4462
38447558	38.4476
38451050	38.451
38477356	38.4774
38489437	38.4894
38502157	38.5022
38523870	38.5239
38528812	38.5288
38550475	38.5505
38566797	38.5668
38588681	38.5887
38625308	38.6253
38704731	38.7047
38728099	38.7281
38733278	38.7333
38738179	38.7382
38768174	38.7682
38838768	38.8388
38854007	38.854
38859663	38.8597
38974280	38.9743
38982782	38.9828
39119237	39.1192
39124395	39.1244
39136377	39.1364
39158479	39.1585
39162721	39.1627
39184709	39.1847
39259168	39.2592
39292734	39.2927
39348370	39.3484
39354569	39.3546
39362892	39.3629
39496962	39.497
39499602	39.4996
39599312	39.5993
39617437	39.6174
39634271	39.6343
39634409	39.6344
39661883	39.6619
39665256	39.6653
39670138	39.6701
39670600	39.6706
39687718	39.6877
39699639	39.6996
39710785	39.7108
39726522	39.7265
39740876	39.7409
39774877	39.7749
39779144	39.7791
39794252	39.7943
39910462	39.9105
40001600	40.0016
40002203	40.0022
40003841	40.0038
40011604	40.0116
40013360	40.0134
40023433	40.0234
40028917	40.0289
40032168	40.0322
40149480	40.1495
40150118	40.1501
40207747	40.2077
40227394	40.2274
40283192	40.2832
40284282	40.2843
40357180	40.3572
40388313	40.3883
40399527	40.3995
40429625	40.4296
40435009	40.435
40437900	40.4379
40480666	40.4807
40510971	40.511
40542321	40.5423
40600027	40.6
40663921	40.6639
40670022	40.67
40700537	40.7005
40712510	40.7125
40745744	40.7457
40786183	40.7862
40787012	40.787
40797602	40.7976
40801384	40.8014
40892292	40.8923
40908973	40.909
40922555	40.9226
40968949	40.9689
41005756	41.0058
41022706	41.0227
41032952	41.033
41075939	41.0759
41090406	41.0904
41119996	41.12
41155625	41.1556
41161972	41.162
41172909	41.1729
41191975	41.192
41193359	41.1934
41197847	41.1978
41201312	41.2013
41207662	41.2077
41251269	41.2513
41330813	41.3308
41352720	41.3527
41376785	41.3768
41404037	41.404
41427073	41.4271
41488121	41.4881
41500441	41.5004
41522820	41.5228
41548996	41.549
41551418	41.5514
41645186	41.6452
41698103	41.6981
41703479	41.7035
41746061	41.7461
41746537	41.7465
41764625	41.7646
41787059	41.7871
41796758	41.7968
41806767	41.8068
41837260	41.8373
41839829	41.8398
41841392	41.8414
41903552	41.9036
41906502	41.9065
41963190	41.9632
41973447	41.9734
41985643	41.9856
41989273	41.9893
42005625	42.0056
42005679	42.0057
42016822	42.0168
42074768	42.0748
42111129	42.1111
42113554	42.1136
42165926	42.1659
42177065	42.1771
42178234	42.1782
42181212	42.1812
42244710	42.2447
42256095	42.2561
42277223	42.2772
42287273	42.2873
42298599	42.2986
42306520	42.3065
42346508	42.3465
42517697	42.5177
42525580	42.5256
42529453	42.5295
42610000	42.61
42847007	42.847
42913375	42.9134
42918946	42.9189
42923152	42.9232
42964631	42.9646
42970453	42.9705
43012382	43.0124
43060383	43.0604
43060591	43.0606
43088416	43.0884
43132458	43.1325
43133764	43.1338
43143419	43.1434
43145032	43.145
43197882	43.1979
43220239	43.2202
43263436	43.2634
43374042	43.374
43430092	43.4301
43449279	43.4493
43455941	43.4559
43473254	43.4733
43476566	43.4766
43483421	43.4834
43522758	43.5228
43544014	43.544
43545843	43.5458
43589206	43.5892
43608858	43.6089
43622042	43.622
43623720	43.6237
43725947	43.7259
43865590	43.8656
43951758	43.9518
44022689	44.0227
44044036	44.044
44046702	44.0467
44060919	44.0609
44069859	44.0699
44072471	44.0725
44075684	44.0757
44100434	44.1004
44102270	44.1023
44105610	44.1056
44113271	44.1133
44118257	44.1183
44168442	44.1684
44184707	44.1847
44266679	44.2667
44307402	44.3074
44355876	44.3559
44390821	44.3908
44539571	44.5396
44584638	44.5846
44596479	44.5965
44610644	44.6106
44615447	44.6154
44669059	44.6691
44728310	44.7283
44824440	44.8244
44858385	44.8584
44862306	44.8623
44883074	44.8831
44938914	44.9389
44949918	44.9499
44985246	44.9852
45058119	45.0581
45098377	45.0984
45117129	45.1171
45127024	45.127
45145143	45.1451
45147710	45.1477
45169657	45.1697
